City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chivhu,-19.0211,30.8922,59.32,40,0,11.7,ZW,1689869075
1,margaret river,-33.95,115.0667,58.44,74,65,19.15,AU,1689869075
2,edinburgh of the seven seas,-37.0676,-12.3116,53.29,64,34,24.9,SH,1689869075
3,chernyshevskiy,63.0128,112.4714,58.23,77,53,3.62,RU,1689869075
4,howrah,22.5892,88.3103,86.0,79,40,9.22,IN,1689869076
5,port-aux-francais,-49.35,70.2167,34.47,67,52,43.46,TF,1689868843
6,thompson,55.7435,-97.8558,68.16,73,40,4.61,CA,1689868951
7,punta arenas,-53.15,-70.9167,36.1,67,97,14.81,CL,1689868785
8,grytviken,-54.2811,-36.5092,21.99,93,100,3.96,GS,1689868849
9,port mathurin,-19.6833,63.4167,74.14,68,9,19.84,MU,1689869076
10,amga,60.8953,131.9608,55.98,99,100,6.02,RU,1689869077
11,nuuk,64.1835,-51.7216,48.81,100,75,3.44,GL,1689869077
12,kavaratti,10.5669,72.642,82.69,82,100,18.41,IN,1689869077
13,bilibino,68.0546,166.4372,55.09,78,95,1.52,RU,1689869077
14,papatowai,-46.5619,169.4708,38.91,79,6,9.62,NZ,1689868844
15,hermanus,-34.4187,19.2345,53.8,65,3,17.49,ZA,1689869078
16,kodinsk,58.6881,99.1844,64.22,52,6,3.02,RU,1689869078
17,az zuwaytinah,30.9522,20.1202,84.52,64,0,22.64,LY,1689869078
18,tiksi,71.6872,128.8694,43.52,62,55,7.18,RU,1689868827
19,waitangi,-43.9535,-176.5597,44.82,92,100,5.01,NZ,1689869078
20,voi,-3.3945,38.563,75.76,53,5,14.45,KE,1689869079
21,sarangani,5.4033,125.4636,83.66,73,70,13.76,PH,1689869079
22,carnarvon,-24.8667,113.6333,59.43,42,0,20.58,AU,1689868890
23,bethel,41.3712,-73.414,85.35,57,0,3.44,US,1689869079
24,canutama,-6.5339,-64.3831,95.68,27,4,4.27,BR,1689869079
25,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,100,100,6.71,RU,1689868935
26,anadyr,64.75,177.4833,52.3,87,100,8.95,RU,1689868881
27,st. john's,47.5649,-52.7093,84.15,77,75,18.41,CA,1689868785
28,muisne,0.6,-80.0333,80.26,85,89,10.47,EC,1689869080
29,brookings,44.3114,-96.7984,71.1,73,40,13.8,US,1689868965
30,stanley,54.868,-1.6985,62.78,80,98,5.93,GB,1689869080
31,klyuchi,52.2667,79.1667,72.1,55,84,7.94,RU,1689869080
